"abbr","year","link","real_team_age","avg_age"
"PHI",1987,"/teams/PHI/1987.html",26.6333501006036,26.8125
"WSB",1987,"/teams/WSB/1987.html",25.874143618371,26.1333333333333
"NJN",1987,"/teams/NJN/1987.html",26.2237219843868,27
"NYK",1987,"/teams/NYK/1987.html",26.4400404448938,26.2222222222222
"ATL",1987,"/teams/ATL/1987.html",26.0904206791688,25.9333333333333
"DET",1987,"/teams/DET/1987.html",26.6849722642461,26.3333333333333
"MIL",1987,"/teams/MIL/1987.html",27.7053083923155,27.4545454545455
"IND",1987,"/teams/IND/1987.html",25.8989463120923,26.1333333333333
"CHI",1987,"/teams/CHI/1987.html",25.4473524962179,25.5882352941176
"CLE",1987,"/teams/CLE/1987.html",24.590635282207,25.1333333333333
"DAL",1987,"/teams/DAL/1987.html",26.3562877263582,25.3846153846154
"UTA",1987,"/teams/UTA/1987.html",26.929840546697,26.9166666666667
"HOU",1987,"/teams/HOU/1987.html",26.1180485338726,25.9333333333333
"DEN",1987,"/teams/DEN/1987.html",28.1764408493428,26.7857142857143
"SAC",1987,"/teams/SAC/1987.html",26.3486349848332,25.9333333333333
"SAS",1987,"/teams/SAS/1987.html",27.1358242867963,26
"LAL",1987,"/teams/LAL/1987.html",27.8254434870755,27.1538461538462
"POR",1987,"/teams/POR/1987.html",26.9438020701843,25.9411764705882
"GSW",1987,"/teams/GSW/1987.html",26.9398643556895,26.2857142857143
"SEA",1987,"/teams/SEA/1987.html",26.1253084865273,26.6666666666667
"PHO",1987,"/teams/PHO/1987.html",25.952807856963,25.4285714285714
"LAC",1987,"/teams/LAC/1987.html",26.1995955510617,26.3529411764706
"BOS",1988,"/teams/BOS/1988.html",29.8083417593529,28.5
"WSB",1988,"/teams/WSB/1988.html",26.5569919517103,26.2307692307692
"NYK",1988,"/teams/NYK/1988.html",25.2592274678112,26.3
"PHI",1988,"/teams/PHI/1988.html",27.2278824415976,26.4444444444444
"NJN",1988,"/teams/NJN/1988.html",26.6891304347826,26.3
"DET",1988,"/teams/DET/1988.html",27.380839231547,27.4666666666667
"CHI",1988,"/teams/CHI/1988.html",25.4866784185344,26.2
"ATL",1988,"/teams/ATL/1988.html",26.7646612740142,26.1333333333333
"MIL",1988,"/teams/MIL/1988.html",28.5544489383215,27.25
"CLE",1988,"/teams/CLE/1988.html",24.6260364004044,25.0588235294118
"IND",1988,"/teams/IND/1988.html",25.6618624714539,25.4615384615385
"DEN",1988,"/teams/DEN/1988.html",28.7227502527806,27.9375
"DAL",1988,"/teams/DAL/1988.html",26.955403695267,26.0833333333333
"UTA",1988,"/teams/UTA/1988.html",27.2678000507485,27.4
"HOU",1988,"/teams/HOU/1988.html",27.7239329268293,27.6875
"SAS",1988,"/teams/SAS/1988.html",26.1694521585458,26
"SAC",1988,"/teams/SAC/1988.html",26.0788169868554,25.6875
"LAL",1988,"/teams/LAL/1988.html",28.9303711184044,28
"POR",1988,"/teams/POR/1988.html",27.1381652306133,27.25
"SEA",1988,"/teams/SEA/1988.html",25.5766305716444,25.6923076923077
"PHO",1988,"/teams/PHO/1988.html",27.5072985301571,26.9473684210526
"GSW",1988,"/teams/GSW/1988.html",25.3716380182002,25.7619047619048
"LAC",1988,"/teams/LAC/1988.html",26.1879323403181,25.55
"NYK",1989,"/teams/NYK/1989.html",25.3285029033072,25.3846153846154
"PHI",1989,"/teams/PHI/1989.html",27.0388270980789,26.6875
"BOS",1989,"/teams/BOS/1989.html",28.4602123356926,27.4705882352941
"WSB",1989,"/teams/WSB/1989.html",26.2077058675397,25.9230769230769
"NJN",1989,"/teams/NJN/1989.html",26.8397879323403,26
"CHH",1989,"/teams/CHH/1989.html",27.218806875632,26.8125
"DET",1989,"/teams/DET/1989.html",28.6342410489158,28.2352941176471
"CLE",1989,"/teams/CLE/1989.html",26.1218931915971,26.75
"ATL",1989,"/teams/ATL/1989.html",28.4908861398637,27.9230769230769
"MIL",1989,"/teams/MIL/1989.html",28.5271576815996,28.1764705882353
"CHI",1989,"/teams/CHI/1989.html",26.3594539939333,26.3125
"IND",1989,"/teams/IND/1989.html",25.2020146058927,25.4117647058824
"UTA",1989,"/teams/UTA/1989.html",27.3602635580335,26.2
"HOU",1989,"/teams/HOU/1989.html",26.8446738856711,27.2142857142857
"DEN",1989,"/teams/DEN/1989.html",29.8368712273642,29
"DAL",1989,"/teams/DAL/1989.html",28.5391304347826,27.6875
"SAS",1989,"/teams/SAS/1989.html",25.6123513034675,26.4545454545455
"MIA",1989,"/teams/MIA/1989.html",25.1974817426341,25.1764705882353
"LAL",1989,"/teams/LAL/1989.html",29.5255238576117,29.3333333333333
"PHO",1989,"/teams/PHO/1989.html",25.694608959757,25.5882352941176
"SEA",1989,"/teams/SEA/1989.html",26.291809908999,26.9285714285714
"GSW",1989,"/teams/GSW/1989.html",25.9541823662396,26
"POR",1989,"/teams/POR/1989.html",26.9435199193142,27.4705882352941
"SAC",1989,"/teams/SAC/1989.html",25.1834175935288,25.2941176470588
"LAC",1989,"/teams/LAC/1989.html",24.6461344749433,24.85
"PHI",1990,"/teams/PHI/1990.html",27.3600605907599,27.125
"BOS",1990,"/teams/BOS/1990.html",30.1983252981477,28.6153846153846
"NYK",1990,"/teams/NYK/1990.html",26.4506807866868,26.4
"WSB",1990,"/teams/WSB/1990.html",27.4896621280888,26.0769230769231
"MIA",1990,"/teams/MIA/1990.html",24.6511910795743,25.5384615384615
"NJN",1990,"/teams/NJN/1990.html",26.5570667343314,25.7894736842105
"DET",1990,"/teams/DET/1990.html",29.4951779853572,29
"CHI",1990,"/teams/CHI/1990.html",26.1204740292486,26.2142857142857
"MIL",1990,"/teams/MIL/1990.html",28.1219364599092,28.4444444444444
"CLE",1990,"/teams/CLE/1990.html",26.0591549295775,25.6470588235294
"IND",1990,"/teams/IND/1990.html",26.3958752515091,27.0769230769231
"ATL",1990,"/teams/ATL/1990.html",28.6175874303092,27.2777777777778
"ORL",1990,"/teams/ORL/1990.html",26.4879575864681,26.9285714285714
"SAS",1990,"/teams/SAS/1990.html",26.3576786619361,26.625
"UTA",1990,"/teams/UTA/1990.html",27.5936964195663,26.4
"DAL",1990,"/teams/DAL/1990.html",29.1687232435155,27.8
"DEN",1990,"/teams/DEN/1990.html",29.4822014642767,28.8571428571429
"HOU",1990,"/teams/HOU/1990.html",27.9119414289321,27.625
"MIN",1990,"/teams/MIN/1990.html",26.2392344497608,26.0666666666667
"CHH",1990,"/teams/CHH/1990.html",25.639483675019,26.15
"LAL",1990,"/teams/LAL/1990.html",28.9266683455049,28.0666666666667
"POR",1990,"/teams/POR/1990.html",26.669014084507,26.6153846153846
"PHO",1990,"/teams/PHO/1990.html",26.7033492822966,25.6875
"SEA",1990,"/teams/SEA/1990.html",25.5632253202713,25.9333333333333
"GSW",1990,"/teams/GSW/1990.html",25.985079928952,26.6111111111111
"LAC",1990,"/teams/LAC/1990.html",24.5167381974249,24.95
"SAC",1990,"/teams/SAC/1990.html",26.3531764110352,25.9375
"BOS",1991,"/teams/BOS/1991.html",28.2255995960616,27.4666666666667
"PHI",1991,"/teams/PHI/1991.html",28.4235557768924,27.4444444444444
"NYK",1991,"/teams/NYK/1991.html",28.0556752693561,27.0714285714286
"WSB",1991,"/teams/WSB/1991.html",26.5143792495593,25.7333333333333
"NJN",1991,"/teams/NJN/1991.html",26.1599092284418,25.875
"MIA",1991,"/teams/MIA/1991.html",23.967239635996,24.3571428571429
"CHI",1991,"/teams/CHI/1991.html",26.9091875474563,26.5833333333333
"DET",1991,"/teams/DET/1991.html",30.5034587225448,30.6428571428571
"MIL",1991,"/teams/MIL/1991.html",29.2984134978595,28.5
"ATL",1991,"/teams/ATL/1991.html",28.9743356112377,27.3571428571429
"IND",1991,"/teams/IND/1991.html",26.4409997475385,26.6428571428571
"CLE",1991,"/teams/CLE/1991.html",26.7921331316188,26
"CHH",1991,"/teams/CHH/1991.html",25.4879070941681,25.8235294117647
"SAS",1991,"/teams/SAS/1991.html",25.9525970751387,25.8235294117647
"UTA",1991,"/teams/UTA/1991.html",28.6593023255814,27.6666666666667
"HOU",1991,"/teams/HOU/1991.html",27.3383026945354,26.8571428571429
"ORL",1991,"/teams/ORL/1991.html",26.0880182002022,26.1428571428571
"MIN",1991,"/teams/MIN/1991.html",26.2212007033409,26
"DAL",1991,"/teams/DAL/1991.html",30.5501640999748,29.2
"DEN",1991,"/teams/DEN/1991.html",26.4649771920933,26.1428571428571
"POR",1991,"/teams/POR/1991.html",27.9239387088671,28.0769230769231
"LAL",1991,"/teams/LAL/1991.html",28.3929904185577,28
"PHO",1991,"/teams/PHO/1991.html",26.9184490623416,26.9375
"GSW",1991,"/teams/GSW/1991.html",26.4963898005554,26.7222222222222
"SEA",1991,"/teams/SEA/1991.html",26.1709255533199,27.25
"LAC",1991,"/teams/LAC/1991.html",25.1018934612472,25.1875
"SAC",1991,"/teams/SAC/1991.html",25.8758183202233,25.8333333333333
"BOS",1992,"/teams/BOS/1992.html",29.2415571284125,28.1666666666667
"NYK",1992,"/teams/NYK/1992.html",27.2903047091413,27.4
"NJN",1992,"/teams/NJN/1992.html",25.6048533872599,25.4615384615385
"MIA",1992,"/teams/MIA/1992.html",24.3766515380736,24.6875
"PHI",1992,"/teams/PHI/1992.html",27.5602126044039,26.875
"WSB",1992,"/teams/WSB/1992.html",26.1157391085369,26.1875
"ORL",1992,"/teams/ORL/1992.html",26.5891398122304,25.8823529411765
"CHI",1992,"/teams/CHI/1992.html",27.6328794755421,28.1875
"CLE",1992,"/teams/CLE/1992.html",27.6137843978793,26.1875
"DET",1992,"/teams/DET/1992.html",30.0738119312437,29.2857142857143
"IND",1992,"/teams/IND/1992.html",26.4353294913555,26.4666666666667
"ATL",1992,"/teams/ATL/1992.html",27.1888972619945,26.6
"MIL",1992,"/teams/MIL/1992.html",30.1735412474849,29.0714285714286
"CHH",1992,"/teams/CHH/1992.html",25.1756627114365,25.3888888888889
"UTA",1992,"/teams/UTA/1992.html",28.536569416499,27.3571428571429
"SAS",1992,"/teams/SAS/1992.html",27.2955510616785,26.75
"HOU",1992,"/teams/HOU/1992.html",27.9572937625755,27.9375
"DEN",1992,"/teams/DEN/1992.html",25.6793225480283,25.8666666666667
"DAL",1992,"/teams/DAL/1992.html",28.1630979498861,27.4705882352941
"MIN",1992,"/teams/MIN/1992.html",26.4024236303964,26.125
"POR",1992,"/teams/POR/1992.html",28.0844567404427,27.7142857142857
"GSW",1992,"/teams/GSW/1992.html",25.5132293762575,26.2631578947368
"PHO",1992,"/teams/PHO/1992.html",27.0137843978793,27.2307692307692
"SEA",1992,"/teams/SEA/1992.html",27.2794258373206,26.9285714285714
"LAC",1992,"/teams/LAC/1992.html",27.3187090267272,26.6470588235294
"LAL",1992,"/teams/LAL/1992.html",28.3361069087242,27.1333333333333
"SAC",1992,"/teams/SAC/1992.html",25.0601109430156,24.8125
"NYK",1993,"/teams/NYK/1993.html",28.3331660812845,27.8461538461538
"BOS",1993,"/teams/BOS/1993.html",28.5912537917088,27.9411764705882
"NJN",1993,"/teams/NJN/1993.html",27.2947927199191,27.5555555555556
"ORL",1993,"/teams/ORL/1993.html",25.7637323943662,25.8125
"MIA",1993,"/teams/MIA/1993.html",25.1824043989003,25
"PHI",1993,"/teams/PHI/1993.html",27.1252383341696,27.3571428571429
"WSB",1993,"/teams/WSB/1993.html",26.0956324160566,26.0526315789474
"CHI",1993,"/teams/CHI/1993.html",28.0608673726677,27.7647058823529
"CLE",1993,"/teams/CLE/1993.html",28.8031770045386,27.6428571428571
"CHH",1993,"/teams/CHH/1993.html",25.7336876740066,26.3333333333333
"ATL",1993,"/teams/ATL/1993.html",27.0850226928896,27.0588235294118
"IND",1993,"/teams/IND/1993.html",26.8268286509744,26.4615384615385
"DET",1993,"/teams/DET/1993.html",29.9493933265925,29.25
"MIL",1993,"/teams/MIL/1993.html",26.882209832742,27.4210526315789
"HOU",1993,"/teams/HOU/1993.html",27.419514661274,28.5
"SAS",1993,"/teams/SAS/1993.html",27.5459581969277,27.625
"UTA",1993,"/teams/UTA/1993.html",29.2931409769679,28.2
"DEN",1993,"/teams/DEN/1993.html",24.7703479576399,24.9285714285714
"MIN",1993,"/teams/MIN/1993.html",25.7886174767061,25.7333333333333
"DAL",1993,"/teams/DAL/1993.html",24.8650785605677,24.7777777777778
"PHO",1993,"/teams/PHO/1993.html",28.1955397871262,28.2
"SEA",1993,"/teams/SEA/1993.html",27.7223963599596,27.3571428571429
"POR",1993,"/teams/POR/1993.html",28.2059281587541,27.1428571428571
"LAC",1993,"/teams/LAC/1993.html",26.6622065135067,26.9333333333333
"LAL",1993,"/teams/LAL/1993.html",28.0233484619264,27.1428571428571
"GSW",1993,"/teams/GSW/1993.html",25.0353679979905,26.4
"SAC",1993,"/teams/SAC/1993.html",26.4555611729019,26.625
"NYK",1994,"/teams/NYK/1994.html",28.8824095165781,28.8125
"ORL",1994,"/teams/ORL/1994.html",25.7938672072985,26.7222222222222
"NJN",1994,"/teams/NJN/1994.html",26.5656076651538,27.25
"MIA",1994,"/teams/MIA/1994.html",25.9678868972482,26.1333333333333
"BOS",1994,"/teams/BOS/1994.html",27.8122079879427,26.8666666666667
"PHI",1994,"/teams/PHI/1994.html",27.2421105781368,27.0588235294118
"WSB",1994,"/teams/WSB/1994.html",25.8029941639178,26.5
"ATL",1994,"/teams/ATL/1994.html",28.6699063528221,28.1333333333333
"CHI",1994,"/teams/CHI/1994.html",27.7493933265925,27.5
"IND",1994,"/teams/IND/1994.html",27.1987851176917,27.6875
"CLE",1994,"/teams/CLE/1994.html",27.9389574414505,27.8235294117647
"CHH",1994,"/teams/CHH/1994.html",27.6275340393343,27.6842105263158
"MIL",1994,"/teams/MIL/1994.html",26.1078913981223,26.875
"DET",1994,"/teams/DET/1994.html",27.4612265585403,28.1111111111111
"HOU",1994,"/teams/HOU/1994.html",28.0574823053589,27.3333333333333
"SAS",1994,"/teams/SAS/1994.html",29.0037411526795,29.0714285714286
"UTA",1994,"/teams/UTA/1994.html",29.4381744831064,26.5789473684211
"DEN",1994,"/teams/DEN/1994.html",24.7659832953683,24.8235294117647
"MIN",1994,"/teams/MIN/1994.html",26.1528636594019,25.6875
"DAL",1994,"/teams/DAL/1994.html",25.3266599087684,26
"SEA",1994,"/teams/SEA/1994.html",28.1050684237202,27.2142857142857
"PHO",1994,"/teams/PHO/1994.html",28.6783557472723,27.4705882352941
"GSW",1994,"/teams/GSW/1994.html",24.989888776542,25.75
"POR",1994,"/teams/POR/1994.html",28.5987851176917,27.0714285714286
"LAL",1994,"/teams/LAL/1994.html",26.4603391546444,27.75
"SAC",1994,"/teams/SAC/1994.html",26.6768413059985,26.2941176470588
"LAC",1994,"/teams/LAC/1994.html",26.9946916076845,26.4705882352941
"ORL",1995,"/teams/ORL/1995.html",26.6032112393377,27.2666666666667
"NYK",1995,"/teams/NYK/1995.html",29.4216885743175,28.875
"BOS",1995,"/teams/BOS/1995.html",27.2194900277708,27.0588235294118
"MIA",1995,"/teams/MIA/1995.html",27.0921484473618,26.9333333333333
"NJN",1995,"/teams/NJN/1995.html",27.4797283702213,27.6666666666667
"PHI",1995,"/teams/PHI/1995.html",25.0704872506943,25.8421052631579
"WSB",1995,"/teams/WSB/1995.html",24.47474187862,25.1875
"IND",1995,"/teams/IND/1995.html",28.7407987866532,29.1333333333333
"CHH",1995,"/teams/CHH/1995.html",27.9555667760667,28.4375
"CHI",1995,"/teams/CHI/1995.html",28.1488653555219,27.75
"CLE",1995,"/teams/CLE/1995.html",28.3355745107878,28.9333333333333
"ATL",1995,"/teams/ATL/1995.html",28.2428103752203,28.7777777777778
"MIL",1995,"/teams/MIL/1995.html",25.6891966759003,26.7857142857143
"DET",1995,"/teams/DET/1995.html",26.8557019766852,26.3125
